year,quarter,level,region,type,count,amount
2020,1,state,Puducherry,TOTAL,1207921,2205277477.079584
2020,1,state,Tamil Nadu,TOTAL,66953473,116569686179.4346
2020,1,state,Uttar Pradesh,TOTAL,97239132,172416434960.69037
2020,1,state,Madhya Pradesh,TOTAL,79366746,126737281436.18526
2020,1,state,Andhra Pradesh,TOTAL,127677357,252737214289.0485
2020,1,state,Tripura,TOTAL,924502,1588778806.3885012
2020,1,state,Lakshadweep,TOTAL,5151,13502368.57450421
2020,1,state,Manipur,TOTAL,818801,2598590380.8769474
2020,1,state,Maharashtra,TOTAL,238944081,319995196718.0683
2020,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,878579,1342763369.292519
2020,1,state,Meghalaya,TOTAL,502283,1120134840.9078057
2020,1,state,Andaman & Nicobar Islands,TOTAL,41298,161476312.2972747
2020,1,state,Haryana,TOTAL,44036087,81976214558.24355
2020,1,state,Rajasthan,TOTAL,102258812,190308238561.00217
2020,1,state,Ladakh,TOTAL,116419,377639677.4457431
2020,1,state,Punjab,TOTAL,15217784,31374185265.899654
2020,1,state,Assam,TOTAL,8808860,20668428347.72898
2020,1,state,Jharkhand,TOTAL,18282713,33611232153.269115
2020,1,state,Odisha,TOTAL,53682307,91956798199.33679
2020,1,state,Bihar,TOTAL,45081815,109256853527.24524
2020,1,state,Kerala,TOTAL,15733522,26451084830.93425
2020,1,state,Karnataka,TOTAL,271033890,353402054999.4004
2020,1,state,Chandigarh,TOTAL,2262511,5126453070.016205
2020,1,state,Telangana,TOTAL,199409525,371343780368.2118
2020,1,state,Himachal Pradesh,TOTAL,4144480,7419466751.122733
2020,1,state,West Bengal,TOTAL,66250381,96653305190.9406
2020,1,state,Gujarat,TOTAL,47326417,86995076621.90231
2020,1,state,Sikkim,TOTAL,528118,1053476271.9444009
2020,1,state,Nagaland,TOTAL,378051,894780028.7343724
2020,1,state,Mizoram,TOTAL,153609,392077579.3496374
2020,1,state,Chhattisgarh,TOTAL,19523991,32860597671.356686
2020,1,state,Jammu & Kashmir,TOTAL,921630,2937643176.534005
2020,1,state,Goa,TOTAL,1881237,3410371231.9237647
2020,1,state,Arunachal Pradesh,TOTAL,567175,1381758681.3301477
2020,1,state,Delhi,TOTAL,81747604,133616543642.58943
2020,1,state,Uttarakhand,TOTAL,9131784,16158080258.987526
2020,2,state,Puducherry,TOTAL,1033383,1960030980.4875922
2020,2,state,Tamil Nadu,TOTAL,51870110,95826508896.84135
2020,2,state,Uttar Pradesh,TOTAL,100851965,178744016130.31216
2020,2,state,Madhya Pradesh,TOTAL,76340573,147922015289.08447
2020,2,state,Andhra Pradesh,TOTAL,144917855,302583689746.5449
2020,2,state,Tripura,TOTAL,1052520,1769175883.585958
2020,2,state,Lakshadweep,TOTAL,7220,16942922.08594439
2020,2,state,Manipur,TOTAL,1083068,3198936212.8055243
2020,2,state,Maharashtra,TOTAL,184790761,296359517159.41614
2020,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,973152,1302376453.8880572
2020,2,state,Meghalaya,TOTAL,635395,1153735154.3383913
2020,2,state,Andaman & Nicobar Islands,TOTAL,62962,169645001.41414702
2020,2,state,Haryana,TOTAL,41781050,80711264923.94525
2020,2,state,Rajasthan,TOTAL,101954656,193763273003.28284
2020,2,state,Ladakh,TOTAL,155010,523792998.6520228
2020,2,state,Punjab,TOTAL,14081294,30284654252.21334
2020,2,state,Assam,TOTAL,10505199,19766300125.91926
2020,2,state,Jharkhand,TOTAL,20141511,37486201975.923416
2020,2,state,Odisha,TOTAL,50028576,91733036612.10583
2020,2,state,Bihar,TOTAL,53386742,128806523628.85287
2020,2,state,Kerala,TOTAL,16287967,25894078478.599953
2020,2,state,Karnataka,TOTAL,213221712,321104877020.14185
2020,2,state,Chandigarh,TOTAL,1528010,3847015729.690074
2020,2,state,Telangana,TOTAL,152055143,321531839352.4224
2020,2,state,Himachal Pradesh,TOTAL,4695730,8036904762.544065
2020,2,state,West Bengal,TOTAL,57676797,100099431877.35757
2020,2,state,Gujarat,TOTAL,47420185,80387846359.49454
2020,2,state,Sikkim,TOTAL,517731,1054618788.2612653
2020,2,state,Nagaland,TOTAL,517566,1137674504.3478017
2020,2,state,Mizoram,TOTAL,198462,457193433.4423174
2020,2,state,Chhattisgarh,TOTAL,18820925,32268382206.900894
2020,2,state,Jammu & Kashmir,TOTAL,2635006,8265648939.258666
2020,2,state,Goa,TOTAL,1482092,2183616430.016773
2020,2,state,Arunachal Pradesh,TOTAL,808774,1826716832.9849606
2020,2,state,Delhi,TOTAL,66042018,107873438203.33162
2020,2,state,Uttarakhand,TOTAL,9047770,16094187702.100985
2020,3,state,Puducherry,TOTAL,1730902,3598080229.434597
2020,3,state,Tamil Nadu,TOTAL,70277825,143841415498.65747
2020,3,state,Uttar Pradesh,TOTAL,127405259,248689955423.05322
2020,3,state,Madhya Pradesh,TOTAL,108579881,205701679984.53757
2020,3,state,Andhra Pradesh,TOTAL,204902935,467084130584.93884
2020,3,state,Tripura,TOTAL,1317885,2341819516.215885
2020,3,state,Lakshadweep,TOTAL,8589,21306833.308656827
2020,3,state,Manipur,TOTAL,1420168,4615976120.870485
2020,3,state,Maharashtra,TOTAL,268310924,440307079012.4761
2020,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,1138312,1749789114.9993598
2020,3,state,Meghalaya,TOTAL,597579,1237059001.3830369
2020,3,state,Andaman & Nicobar Islands,TOTAL,117483,338019446.3303601
2020,3,state,Haryana,TOTAL,57938179,109567950445.72871
2020,3,state,Rajasthan,TOTAL,149088676,293678306162.4698
2020,3,state,Ladakh,TOTAL,228222,835487500.058193
2020,3,state,Punjab,TOTAL,17209573,40123092147.81354
2020,3,state,Assam,TOTAL,12397711,29831391259.543846
2020,3,state,Jharkhand,TOTAL,27068473,50622615820.01348
2020,3,state,Odisha,TOTAL,66033829,122463943804.29193
2020,3,state,Bihar,TOTAL,71503748,173328865111.8144
2020,3,state,Kerala,TOTAL,21758680,40164150651.95372
2020,3,state,Karnataka,TOTAL,300360531,470740515696.6945
2020,3,state,Chandigarh,TOTAL,2158086,5089809353.36507
2020,3,state,Telangana,TOTAL,236372126,505961144755.88367
2020,3,state,Himachal Pradesh,TOTAL,5489876,10516054014.086905
2020,3,state,West Bengal,TOTAL,79954504,156813355855.1383
2020,3,state,Gujarat,TOTAL,59290179,111921752484.70932
2020,3,state,Sikkim,TOTAL,596435,1400926728.6603994
2020,3,state,Nagaland,TOTAL,736319,2009649143.1547942
2020,3,state,Mizoram,TOTAL,254703,707944175.5046022
2020,3,state,Chhattisgarh,TOTAL,24148539,41526744807.53401
2020,3,state,Jammu & Kashmir,TOTAL,3465898,11977229760.872362
2020,3,state,Goa,TOTAL,1915531,3368343580.9446573
2020,3,state,Arunachal Pradesh,TOTAL,962827,2609938565.55822
2020,3,state,Delhi,TOTAL,96491861,175163962804.6604
2020,3,state,Uttarakhand,TOTAL,11818935,22103510968.006454
2020,4,state,Puducherry,TOTAL,2716003,4930526217.671207
2020,4,state,Tamil Nadu,TOTAL,111179701,206473197500.99268
2020,4,state,Uttar Pradesh,TOTAL,178167517,357428826778.2578
2020,4,state,Madhya Pradesh,TOTAL,153652541,284275139772.3589
2020,4,state,Andhra Pradesh,TOTAL,286118552,654841546033.3186
2020,4,state,Tripura,TOTAL,1651890,3182130996.2213116
2020,4,state,Lakshadweep,TOTAL,11650,30111317.917080387
2020,4,state,Manipur,TOTAL,1627852,5602224558.458768
2020,4,state,Maharashtra,TOTAL,407621004,622155530832.2585
2020,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,1817791,2700511100.828503
2020,4,state,Meghalaya,TOTAL,754008,1804242572.1989727
2020,4,state,Andaman & Nicobar Islands,TOTAL,224531,627282656.3148524
2020,4,state,Haryana,TOTAL,83171439,159998504366.53964
2020,4,state,Rajasthan,TOTAL,190283435,386034779836.48376
2020,4,state,Ladakh,TOTAL,332134,1111963470.5079594
2020,4,state,Punjab,TOTAL,22997925,53775406479.553894
2020,4,state,Assam,TOTAL,15423454,40226611319.263756
2020,4,state,Jharkhand,TOTAL,39431633,72805174830.04245
2020,4,state,Odisha,TOTAL,92324950,178302663014.6175
2020,4,state,Bihar,TOTAL,96591673,238905613136.47186
2020,4,state,Kerala,TOTAL,33288187,56755256647.011795
2020,4,state,Karnataka,TOTAL,431536984,658036698565.0032
2020,4,state,Chandigarh,TOTAL,2912716,6146762901.349345
2020,4,state,Telangana,TOTAL,343643787,696350439226.9453
2020,4,state,Himachal Pradesh,TOTAL,7272328,13989053108.813015
2020,4,state,West Bengal,TOTAL,100340645,199165491365.6468
2020,4,state,Gujarat,TOTAL,77828547,148393060112.4366
2020,4,state,Sikkim,TOTAL,735035,1919275805.122922
2020,4,state,Nagaland,TOTAL,847825,2773084870.5627017
2020,4,state,Mizoram,TOTAL,322607,986522115.6939572
2020,4,state,Chhattisgarh,TOTAL,35529636,62214974283.94806
2020,4,state,Jammu & Kashmir,TOTAL,5754444,15380905803.378227
2020,4,state,Goa,TOTAL,3801381,6899792747.579928
2020,4,state,Arunachal Pradesh,TOTAL,1209129,3570264021.8456187
2020,4,state,Delhi,TOTAL,120540417,216265088224.5436
2020,4,state,Uttarakhand,TOTAL,17613271,31792739329.110085
2021,1,state,Puducherry,TOTAL,3309432,5899309571.743641
2021,1,state,Tamil Nadu,TOTAL,136556674,248668143873.65317
2021,1,state,Uttar Pradesh,TOTAL,204499547,396287587577.5575
2021,1,state,Madhya Pradesh,TOTAL,201998498,343533954382.3015
2021,1,state,Andhra Pradesh,TOTAL,289747970,672444670176.5881
2021,1,state,Tripura,TOTAL,1511423,3335341569.793424
2021,1,state,Lakshadweep,TOTAL,9085,27042782.914081153
2021,1,state,Manipur,TOTAL,2303535,7070287514.479244
2021,1,state,Maharashtra,TOTAL,517860240,769887352153.2483
2021,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,1925244,2965632911.1935043
2021,1,state,Meghalaya,TOTAL,747646,2055515277.9898345
2021,1,state,Andaman & Nicobar Islands,TOTAL,244752,783706567.3897561
2021,1,state,Haryana,TOTAL,90252784,168938301082.4288
2021,1,state,Rajasthan,TOTAL,252730919,491492581657.63354
2021,1,state,Ladakh,TOTAL,275415,983419813.2468786
2021,1,state,Punjab,TOTAL,26770835,58690887091.106735
2021,1,state,Assam,TOTAL,19512060,51326464546.12217
2021,1,state,Jharkhand,TOTAL,44621663,83749353123.13824
2021,1,state,Odisha,TOTAL,111460358,213397736188.33783
2021,1,state,Bihar,TOTAL,114932477,280973649701.2259
2021,1,state,Kerala,TOTAL,42316342,69260970161.89497
2021,1,state,Karnataka,TOTAL,523797492,754995357412.3948
2021,1,state,Chandigarh,TOTAL,3970237,7596420859.545994
2021,1,state,Telangana,TOTAL,412572110,799359264046.5657
2021,1,state,Himachal Pradesh,TOTAL,7614029,14120546909.487547
2021,1,state,West Bengal,TOTAL,118254052,242937207475.5198
2021,1,state,Gujarat,TOTAL,94774565,183700780713.44968
2021,1,state,Sikkim,TOTAL,800189,2217667726.8407273
2021,1,state,Nagaland,TOTAL,975897,3107450484.613187
2021,1,state,Mizoram,TOTAL,329575,1101105586.9459367
2021,1,state,Chhattisgarh,TOTAL,39436437,69409843261.55008
2021,1,state,Jammu & Kashmir,TOTAL,6997570,17138349893.151793
2021,1,state,Goa,TOTAL,5331549,9757242879.021431
2021,1,state,Arunachal Pradesh,TOTAL,1177456,3813779079.0166435
2021,1,state,Delhi,TOTAL,157359004,266928345043.49225
2021,1,state,Uttarakhand,TOTAL,20608402,36288189399.89833
2021,2,state,Puducherry,TOTAL,3751387,6498834696.543897
2021,2,state,Tamil Nadu,TOTAL,146158442,263487341026.54623
2021,2,state,Uttar Pradesh,TOTAL,241949131,482172489166.39343
2021,2,state,Madhya Pradesh,TOTAL,223314680,425500768035.631
2021,2,state,Andhra Pradesh,TOTAL,352767134,850737499108.2986
2021,2,state,Tripura,TOTAL,1744429,3468154361.036266
2021,2,state,Lakshadweep,TOTAL,11384,27383463.657951534
2021,2,state,Manipur,TOTAL,3086275,7889827962.396657
2021,2,state,Maharashtra,TOTAL,573616486,915115055623.7152
2021,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,2125083,3157668461.418905
2021,2,state,Meghalaya,TOTAL,909594,2193617254.8905916
2021,2,state,Andaman & Nicobar Islands,TOTAL,341414,899147016.1122956
2021,2,state,Haryana,TOTAL,105680856,200357354238.6818
2021,2,state,Rajasthan,TOTAL,287477039,561702765169.2324
2021,2,state,Ladakh,TOTAL,399716,1427259095.4703174
2021,2,state,Punjab,TOTAL,32171248,69531058562.6159
2021,2,state,Assam,TOTAL,25432905,59192473376.66449
2021,2,state,Jharkhand,TOTAL,54002145,104432643311.45735
2021,2,state,Odisha,TOTAL,131824337,245864117477.27853
2021,2,state,Bihar,TOTAL,155603622,374580255186.58875
2021,2,state,Kerala,TOTAL,47191033,74226806436.15614
2021,2,state,Karnataka,TOTAL,530649046,837887151230.051
2021,2,state,Chandigarh,TOTAL,4417547,8417673939.9361
2021,2,state,Telangana,TOTAL,495867544,1027958332797.5902
2021,2,state,Himachal Pradesh,TOTAL,9483902,16495634539.809265
2021,2,state,West Bengal,TOTAL,141897437,279434811058.5615
2021,2,state,Gujarat,TOTAL,111841396,210162054552.1156
2021,2,state,Sikkim,TOTAL,976714,2424899579.6753
2021,2,state,Nagaland,TOTAL,1130791,3156293963.781851
2021,2,state,Mizoram,TOTAL,394340,1122874473.3020918
2021,2,state,Chhattisgarh,TOTAL,44689420,78728771259.22594
2021,2,state,Jammu & Kashmir,TOTAL,10027819,22813755428.591625
2021,2,state,Goa,TOTAL,4710135,8012853587.075999
2021,2,state,Arunachal Pradesh,TOTAL,1568338,4456425616.994377
2021,2,state,Delhi,TOTAL,170157264,281941097684.5416
2021,2,state,Uttarakhand,TOTAL,24000432,40990817874.83847
2021,3,state,Puducherry,TOTAL,5121726,8729974431.01447
2021,3,state,Tamil Nadu,TOTAL,204357404,365207323053.92737
2021,3,state,Uttar Pradesh,TOTAL,306543384,557080841279.8989
2021,3,state,Madhya Pradesh,TOTAL,311443334,504412603851.499
2021,3,state,Andhra Pradesh,TOTAL,432032550,984218035564.122
2021,3,state,Tripura,TOTAL,2081200,4364133768.181473
2021,3,state,Lakshadweep,TOTAL,13370,38803163.698768154
2021,3,state,Manipur,TOTAL,3941396,10406861028.904892
2021,3,state,Maharashtra,TOTAL,792874060,1159257305167.4517
2021,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,3129470,4305939102.791508
2021,3,state,Meghalaya,TOTAL,1097731,2769000451.527979
2021,3,state,Andaman & Nicobar Islands,TOTAL,449764,1310024395.8016036
2021,3,state,Haryana,TOTAL,140459693,240827092259.20697
2021,3,state,Rajasthan,TOTAL,400284753,710511328542.4896
2021,3,state,Ladakh,TOTAL,590987,2213984743.93459
2021,3,state,Punjab,TOTAL,42533489,85992560840.61221
2021,3,state,Assam,TOTAL,33504441,75700499273.30748
2021,3,state,Jharkhand,TOTAL,70795702,121891015118.8533
2021,3,state,Odisha,TOTAL,177362674,303780718933.0267
2021,3,state,Bihar,TOTAL,187671113,397062760956.3983
2021,3,state,Kerala,TOTAL,63028266,101686161773.12894
2021,3,state,Karnataka,TOTAL,753296539,1133234739157.5984
2021,3,state,Chandigarh,TOTAL,6649378,11815883004.693302
2021,3,state,Telangana,TOTAL,622886768,1178289126292.262
2021,3,state,Himachal Pradesh,TOTAL,12064167,21310262071.128155
2021,3,state,West Bengal,TOTAL,181712988,362457066256.5059
2021,3,state,Gujarat,TOTAL,149248407,272624626113.58765
2021,3,state,Sikkim,TOTAL,1160594,2989336863.8083954
2021,3,state,Nagaland,TOTAL,1356792,3987416848.005447
2021,3,state,Mizoram,TOTAL,478529,1473748650.2119522
2021,3,state,Chhattisgarh,TOTAL,64237938,104606108262.77591
2021,3,state,Jammu & Kashmir,TOTAL,13151041,31598443648.03224
2021,3,state,Goa,TOTAL,6467763,10478425592.936367
2021,3,state,Arunachal Pradesh,TOTAL,1906967,5678124175.298816
2021,3,state,Delhi,TOTAL,238760608,383858316548.281
2021,3,state,Uttarakhand,TOTAL,31042284,50527496783.56469
2021,4,state,Puducherry,TOTAL,6368810,10423651801.230518
2021,4,state,Tamil Nadu,TOTAL,259155976,443723952594.79407
2021,4,state,Uttar Pradesh,TOTAL,406157932,773890970072.1896
2021,4,state,Madhya Pradesh,TOTAL,404308084,656887492404.479
2021,4,state,Andhra Pradesh,TOTAL,522254003,1156264447083.9226
2021,4,state,Tripura,TOTAL,2520693,5496929464.299448
2021,4,state,Lakshadweep,TOTAL,15470,50998185.528381005
2021,4,state,Manipur,TOTAL,4687439,12658472038.211857
2021,4,state,Maharashtra,TOTAL,1010731502,1475358473128.29
2021,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,4157085,5565839386.3306675
2021,4,state,Meghalaya,TOTAL,1440193,3848765400.1861496
2021,4,state,Andaman & Nicobar Islands,TOTAL,636123,1932610101.3236554
2021,4,state,Haryana,TOTAL,169686975,309240599300.4638
2021,4,state,Rajasthan,TOTAL,487621597,903934418544.2667
2021,4,state,Ladakh,TOTAL,630187,2153535138.7802677
2021,4,state,Punjab,TOTAL,52359360,110710126241.99957
2021,4,state,Assam,TOTAL,46020361,104184967893.21591
2021,4,state,Jharkhand,TOTAL,96009042,166017119003.7058
2021,4,state,Odisha,TOTAL,233925366,385251049689.91846
2021,4,state,Bihar,TOTAL,245126945,519371614068.7477
2021,4,state,Kerala,TOTAL,81823741,123342136943.36395
2021,4,state,Karnataka,TOTAL,931725438,1375471324349.8777
2021,4,state,Chandigarh,TOTAL,7898903,14373583510.61845
2021,4,state,Telangana,TOTAL,775989773,1463758189500.9146
2021,4,state,Himachal Pradesh,TOTAL,14666864,26136220500.625923
2021,4,state,West Bengal,TOTAL,225029560,462218037262.097
2021,4,state,Gujarat,TOTAL,182987325,342382580053.62726
2021,4,state,Sikkim,TOTAL,1584345,4196783261.6358047
2021,4,state,Nagaland,TOTAL,1631483,4939083784.136465
2021,4,state,Mizoram,TOTAL,553329,1770665741.5230405
2021,4,state,Chhattisgarh,TOTAL,84717494,136399110518.81381
2021,4,state,Jammu & Kashmir,TOTAL,16790628,38926237425.771454
2021,4,state,Goa,TOTAL,11088759,18627257115.86965
2021,4,state,Arunachal Pradesh,TOTAL,2390598,6943510352.611343
2021,4,state,Delhi,TOTAL,292683359,488695314062.3906
2021,4,state,Uttarakhand,TOTAL,40361280,66148108159.422195
2022,1,state,Puducherry,TOTAL,7359176,12083474905.386654
2022,1,state,Tamil Nadu,TOTAL,294573150,512789201600.61597
2022,1,state,Uttar Pradesh,TOTAL,473953246,883123174117.039
2022,1,state,Madhya Pradesh,TOTAL,472703058,747665139599.6421
2022,1,state,Andhra Pradesh,TOTAL,582603911,1294320646554.8625
2022,1,state,Tripura,TOTAL,2871190,6247329764.349836
2022,1,state,Lakshadweep,TOTAL,16397,54939432.65393007
2022,1,state,Manipur,TOTAL,5313679,14144501078.373814
2022,1,state,Maharashtra,TOTAL,1169506438,1681399273981.1614
2022,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,4802803,6237048367.262389
2022,1,state,Meghalaya,TOTAL,1674750,4662338331.33188
2022,1,state,Andaman & Nicobar Islands,TOTAL,794748,2129030202.0751667
2022,1,state,Haryana,TOTAL,191988609,341304042652.78125
2022,1,state,Rajasthan,TOTAL,564962220,1022050180980.1362
2022,1,state,Ladakh,TOTAL,630015,2025040918.8422096
2022,1,state,Punjab,TOTAL,57758302,118389978105.96233
2022,1,state,Assam,TOTAL,58889886,132280437892.70251
2022,1,state,Jharkhand,TOTAL,110911210,194700207087.16907
2022,1,state,Odisha,TOTAL,263633499,451227311779.7898
2022,1,state,Bihar,TOTAL,284390434,611411695731.1454
2022,1,state,Kerala,TOTAL,95280965,139988942464.69464
2022,1,state,Karnataka,TOTAL,1057855407,1566649488305.8838
2022,1,state,Chandigarh,TOTAL,8600491,15174991549.840002
2022,1,state,Telangana,TOTAL,886453385,1670638169828.999
2022,1,state,Himachal Pradesh,TOTAL,16088180,26518447439.932728
2022,1,state,West Bengal,TOTAL,260505092,551426663209.5653
2022,1,state,Gujarat,TOTAL,210547146,392548092253.5477
2022,1,state,Sikkim,TOTAL,1744302,4367431275.863418
2022,1,state,Nagaland,TOTAL,1925952,5544951708.895753
2022,1,state,Mizoram,TOTAL,604917,1945158963.6112473
2022,1,state,Chhattisgarh,TOTAL,97413292,157847045454.8349
2022,1,state,Jammu & Kashmir,TOTAL,16245311,33147863626.158833
2022,1,state,Goa,TOTAL,12214098,19816445402.846123
2022,1,state,Arunachal Pradesh,TOTAL,2804068,7828091628.0873575
2022,1,state,Delhi,TOTAL,330999861,536964920836.2892
2022,1,state,Uttarakhand,TOTAL,44560772,70978782500.07388
2022,2,state,Puducherry,TOTAL,8643687,13778745255.768896
2022,2,state,Tamil Nadu,TOTAL,354506937,590134727678.3616
2022,2,state,Uttar Pradesh,TOTAL,595298776,1067515182419.9624
2022,2,state,Madhya Pradesh,TOTAL,544899829,867024737328.533
2022,2,state,Andhra Pradesh,TOTAL,671134030,1479853948202.9194
2022,2,state,Tripura,TOTAL,3418664,6878271042.0352955
2022,2,state,Lakshadweep,TOTAL,17569,55929601.98990567
2022,2,state,Manipur,TOTAL,6105632,14922910635.149328
2022,2,state,Maharashtra,TOTAL,1407533113,2006272382175.94
2022,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,5759771,6995159780.810846
2022,2,state,Meghalaya,TOTAL,2044649,5281491421.884784
2022,2,state,Andaman & Nicobar Islands,TOTAL,1071217,2685920350.080267
2022,2,state,Haryana,TOTAL,234699962,395234035249.5022
2022,2,state,Rajasthan,TOTAL,661170150,1152833518600.3425
2022,2,state,Ladakh,TOTAL,1118073,3543318177.9962664
2022,2,state,Punjab,TOTAL,72272823,137345426369.22662
2022,2,state,Assam,TOTAL,76334725,153111042086.78204
2022,2,state,Jharkhand,TOTAL,132925275,225636227828.13763
2022,2,state,Odisha,TOTAL,313451598,510035012340.00885
2022,2,state,Bihar,TOTAL,360145029,754461454966.1152
2022,2,state,Kerala,TOTAL,106365322,154696329549.125
2022,2,state,Karnataka,TOTAL,1277448960,1867146114059.2139
2022,2,state,Chandigarh,TOTAL,10772489,17283500158.371002
2022,2,state,Telangana,TOTAL,1063382557,1951414544517.1062
2022,2,state,Himachal Pradesh,TOTAL,21291371,33709107958.242233
2022,2,state,West Bengal,TOTAL,315742141,648575179584.2422
2022,2,state,Gujarat,TOTAL,252052796,446798000976.83795
2022,2,state,Sikkim,TOTAL,2322081,5611105670.307129
