year,quarter,level,region,registered_users,app_opens
2022,3,state,Uttar Pradesh,43537920,1035702397
2022,3,state,Madhya Pradesh,21884220,2026371749
2022,3,state,Andhra Pradesh,26496330,1357005703
2022,3,state,Tripura,649143,24123569
2022,3,state,Lakshadweep,6645,18111
2022,3,state,Manipur,457063,26011343
2022,3,state,Maharashtra,53432602,2638663712
2022,3,state,Dadra & Nagar Haveli & Daman & Diu,474807,3837881
2022,3,state,Meghalaya,283487,32596135
2022,3,state,Andaman & Nicobar Islands,84642,6068354
2022,3,state,Haryana,14303933,265475161
2022,3,state,Rajasthan,26042948,3299787866
2022,3,state,Ladakh,102299,19734781
2022,3,state,Punjab,8097582,154625731
2022,3,state,Assam,5016910,410760707
2022,3,state,Jharkhand,7836429,414228860
2022,3,state,Odisha,13493282,725475924
2022,3,state,Bihar,20694376,336807385
2022,3,state,Kerala,9933977,104565833
2022,3,state,Karnataka,34493994,2148016434
2022,3,state,Chandigarh,598698,2173356
2022,3,state,Telangana,24506111,1255597644
2022,3,state,Himachal Pradesh,2381576,108832538
2022,3,state,West Bengal,24372048,256445748
2022,3,state,Gujarat,21394721,699121904
2022,3,state,Sikkim,232025,18748536
2022,3,state,Nagaland,307386,31229366
2022,3,state,Mizoram,127735,15557163
2022,3,state,Chhattisgarh,6562237,543206487
2022,3,state,Jammu & Kashmir,1719185,109346235
2022,3,state,Goa,817830,19712764
2022,3,state,Arunachal Pradesh,373372,59722628
2022,3,state,Delhi,15009523,49919498
2022,3,state,Uttarakhand,4081976,152803850
2022,4,state,Puducherry,520649,24144184
2022,4,state,Tamil Nadu,25136112,1229187623
2022,4,state,Uttar Pradesh,45648650,1682003791
2022,4,state,Madhya Pradesh,22913924,1388282818
2022,4,state,Andhra Pradesh,27778016,1673374802
2022,4,state,Tripura,678741,16107610
2022,4,state,Lakshadweep,6961,72377
2022,4,state,Manipur,477292,12462732
2022,4,state,Maharashtra,55954028,2982202696
2022,4,state,Dadra & Nagar Haveli & Daman & Diu,500125,24066770
2022,4,state,Meghalaya,295322,10105924
2022,4,state,Andaman & Nicobar Islands,88442,4354093
2022,4,state,Haryana,14994944,556898878
2022,4,state,Rajasthan,27255927,1537424924
2022,4,state,Ladakh,106337,3832339
2022,4,state,Punjab,8462753,199899443
2022,4,state,Assam,5247776,248781157
2022,4,state,Jharkhand,8217638,396098729
2022,4,state,Odisha,14127239,726099254
2022,4,state,Bihar,21738117,834827202
2022,4,state,Kerala,10382102,346981849
2022,4,state,Karnataka,36081698,3011645011
2022,4,state,Chandigarh,627563,15308862
2022,4,state,Telangana,25656381,1731228513
2022,4,state,Himachal Pradesh,2483076,72355717
2022,4,state,West Bengal,25536381,678066327
2022,4,state,Gujarat,22412353,790984595
2022,4,state,Sikkim,241968,8948864
2022,4,state,Nagaland,321205,11171582
2022,4,state,Mizoram,132870,3144551
2022,4,state,Chhattisgarh,6846822,354976814
2022,4,state,Jammu & Kashmir,1793434,60205865
2022,4,state,Goa,855202,43005212
2022,4,state,Arunachal Pradesh,390307,21775038
2022,4,state,Delhi,15764149,401864749
2022,4,state,Uttarakhand,4272049,160685547
2023,1,state,Puducherry,543819,3498429
2023,1,state,Tamil Nadu,26270663,989061650
2023,1,state,Uttar Pradesh,47806049,1401343916
2023,1,state,Madhya Pradesh,24002818,2588256407
2023,1,state,Andhra Pradesh,29065863,1442038420
2023,1,state,Tripura,710884,29736641
2023,1,state,Lakshadweep,7267,43821
2023,1,state,Manipur,498337,29419074
2023,1,state,Maharashtra,58470784,3144152925
2023,1,state,Dadra & Nagar Haveli & Daman & Diu,524617,4471284
2023,1,state,Meghalaya,308324,44686919
2023,1,state,Andaman & Nicobar Islands,92484,11012664
2023,1,state,Haryana,15688161,264946266
2023,1,state,Rajasthan,28523031,3711332541
2023,1,state,Ladakh,110991,14522495
2023,1,state,Punjab,8837408,177418342
2023,1,state,Assam,5499650,590176321
2023,1,state,Jharkhand,8609107,585808867
2023,1,state,Odisha,14787083,929487633
2023,1,state,Bihar,22796011,455886560
2023,1,state,Kerala,10822723,116395880
2023,1,state,Karnataka,37681426,2498025288
2023,1,state,Chandigarh,654522,2001065
2023,1,state,Telangana,26804259,1305656447
2023,1,state,Himachal Pradesh,2594668,111702044
2023,1,state,West Bengal,26732895,321102681
2023,1,state,Gujarat,23436230,918468944
2023,1,state,Sikkim,252440,18927227
2023,1,state,Nagaland,335936,35227154
2023,1,state,Mizoram,138751,24403694
2023,1,state,Chhattisgarh,7159660,678798431
2023,1,state,Jammu & Kashmir,1873039,134828711
2023,1,state,Goa,892185,22829931
2023,1,state,Arunachal Pradesh,408273,88997458
2023,1,state,Delhi,16480011,51049789
2023,1,state,Uttarakhand,4464369,181738693
2023,2,state,Puducherry,564431,3817041
2023,2,state,Tamil Nadu,27317599,991611987
2023,2,state,Uttar Pradesh,49829833,1731600947
2023,2,state,Madhya Pradesh,25042930,2945628722
2023,2,state,Andhra Pradesh,30240061,1427952434
2023,2,state,Tripura,743024,30819207
2023,2,state,Lakshadweep,7585,90501
2023,2,state,Manipur,519799,14076037
2023,2,state,Maharashtra,60766850,3363859330
2023,2,state,Dadra & Nagar Haveli & Daman & Diu,546364,4086025
2023,2,state,Meghalaya,322382,47337234
2023,2,state,Andaman & Nicobar Islands,96329,14738676
2023,2,state,Haryana,16314236,298037706
2023,2,state,Rajasthan,29745609,4033000288
2023,2,state,Ladakh,115736,26285520
2023,2,state,Punjab,9197055,218492661
2023,2,state,Assam,5749682,657069673
2023,2,state,Jharkhand,8980709,657119942
2023,2,state,Odisha,15420061,918449931
2023,2,state,Bihar,23781971,556071386
2023,2,state,Kerala,11237341,121310794
2023,2,state,Karnataka,39122314,2521576765
2023,2,state,Chandigarh,678662,1978988
2023,2,state,Telangana,27814633,1339967792
2023,2,state,Himachal Pradesh,2706470,136774775
2023,2,state,West Bengal,27827662,350862668
2023,2,state,Gujarat,24396768,1057626015
2023,2,state,Sikkim,262728,28470875
2023,2,state,Nagaland,351024,33612080
2023,2,state,Mizoram,145061,21868647
2023,2,state,Chhattisgarh,7469508,749111705
2023,2,state,Jammu & Kashmir,1953132,209249141
2023,2,state,Goa,926020,20219644
2023,2,state,Arunachal Pradesh,426410,106089520
2023,2,state,Delhi,17103089,51415039
2023,2,state,Uttarakhand,4645322,240804293
2023,3,state,Puducherry,586550,4653693
2023,3,state,Tamil Nadu,28405436,1117719858
2023,3,state,Uttar Pradesh,51870932,2143192720
2023,3,state,Madhya Pradesh,26109033,3495164168
2023,3,state,Andhra Pradesh,31493897,1157440497
2023,3,state,Tripura,774678,49942954
2023,3,state,Lakshadweep,7912,294406
2023,3,state,Manipur,541572,20694295
2023,3,state,Maharashtra,63150997,3152984827
2023,3,state,Dadra & Nagar Haveli & Daman & Diu,569035,4449513
2023,3,state,Meghalaya,336282,75055865
2023,3,state,Andaman & Nicobar Islands,100255,20545079
2023,3,state,Haryana,16956489,327497074
2023,3,state,Rajasthan,30997182,4359306863
2023,3,state,Ladakh,120435,42636030
2023,3,state,Punjab,9555997,337107656
2023,3,state,Assam,5998586,962849913
2023,3,state,Jharkhand,9360730,806517236
2023,3,state,Odisha,16064459,1002230051
2023,3,state,Bihar,24776510,623923391
2023,3,state,Kerala,11669143,145044427
2023,3,state,Karnataka,40634390,2284389284
2023,3,state,Chandigarh,704144,1924922
2023,3,state,Telangana,28896668,993742805
2023,3,state,Himachal Pradesh,2816046,189307777
2023,3,state,West Bengal,28966414,473450373
2023,3,state,Gujarat,25383429,1679035143
2023,3,state,Sikkim,272829,34906306
2023,3,state,Nagaland,366203,51985056
2023,3,state,Mizoram,151378,29019443
2023,3,state,Chhattisgarh,7779977,951586898
2023,3,state,Jammu & Kashmir,2031447,283204829
2023,3,state,Goa,961831,24017714
2023,3,state,Arunachal Pradesh,444789,112236680
2023,3,state,Delhi,17747167,49593289
2023,3,state,Uttarakhand,4829992,217340168
2023,4,state,Puducherry,607838,32182677
2023,4,state,Tamil Nadu,29452801,1831285792
2023,4,state,Uttar Pradesh,53799813,3620813944
2023,4,state,Madhya Pradesh,27078072,1780548760
2023,4,state,Andhra Pradesh,32658698,1310002959
2023,4,state,Tripura,806344,43591962
2023,4,state,Lakshadweep,8225,924554
2023,4,state,Manipur,564130,25551545
2023,4,state,Maharashtra,65422120,3694003155
2023,4,state,Dadra & Nagar Haveli & Daman & Diu,590760,36579378
2023,4,state,Meghalaya,349330,30357626
2023,4,state,Andaman & Nicobar Islands,103978,9845960
2023,4,state,Haryana,17556642,904482321
2023,4,state,Rajasthan,32157348,1905645600
2023,4,state,Ladakh,124828,7108123
2023,4,state,Punjab,9898002,605806581
2023,4,state,Assam,6234780,558041955
2023,4,state,Jharkhand,9707336,658553048
2023,4,state,Odisha,16680992,701305081
2023,4,state,Bihar,25695856,1822737403
2023,4,state,Kerala,12084974,747303653
2023,4,state,Karnataka,42031396,2565539566
2023,4,state,Chandigarh,727594,35719991
2023,4,state,Telangana,29902636,1520428750
2023,4,state,Himachal Pradesh,2924952,163694473
2023,4,state,West Bengal,30064546,1467442959
2023,4,state,Gujarat,26312655,1950081065
2023,4,state,Sikkim,282575,15838198
2023,4,state,Nagaland,381162,20169002
2023,4,state,Mizoram,157627,9424810
2023,4,state,Chhattisgarh,8057016,545124233
2023,4,state,Jammu & Kashmir,2108166,186302862
2023,4,state,Goa,995923,64868903
2023,4,state,Arunachal Pradesh,462088,38873546
2023,4,state,Delhi,18363626,738806624
2023,4,state,Uttarakhand,5001826,287470297
2024,1,state,Puducherry,631663,3299001
2024,1,state,Tamil Nadu,30638750,1089065562
2024,1,state,Uttar Pradesh,56028765,3113045884
2024,1,state,Madhya Pradesh,28238554,4395383187
2024,1,state,Andhra Pradesh,34008709,1080185103
2024,1,state,Tripura,842135,81407836
2024,1,state,Lakshadweep,8578,645375
2024,1,state,Manipur,589568,59758762
2024,1,state,Maharashtra,68016876,3226964743
2024,1,state,Dadra & Nagar Haveli & Daman & Diu,615863,5967100
2024,1,state,Meghalaya,365452,207128767
2024,1,state,Andaman & Nicobar Islands,108411,28538751
2024,1,state,Haryana,18248263,356852975
2024,1,state,Rajasthan,33505514,4728118557
2024,1,state,Ladakh,130070,16503075
2024,1,state,Punjab,10286964,448478973
2024,1,state,Assam,6510156,1381009332
2024,1,state,Jharkhand,10118149,1389086946
2024,1,state,Odisha,17393166,1247351109
2024,1,state,Bihar,26765201,945228349
2024,1,state,Kerala,12553296,173276966
2024,1,state,Karnataka,43668141,2186015502
2024,1,state,Chandigarh,754849,2680802
2024,1,state,Telangana,31082447,933319286
2024,1,state,Himachal Pradesh,3050141,231634797
2024,1,state,West Bengal,31306843,633526507
2024,1,state,Gujarat,27381972,2391800188
2024,1,state,Sikkim,293821,19584360
2024,1,state,Nagaland,398630,46485081
2024,1,state,Mizoram,165126,50294364
2024,1,state,Chhattisgarh,8394140,1290951432
2024,1,state,Jammu & Kashmir,2195803,342579321
2024,1,state,Goa,1035050,31168316
2024,1,state,Arunachal Pradesh,482393,143597043
2024,1,state,Delhi,19067147,80302941
2024,1,state,Uttarakhand,5202251,264812749
2024,2,state,Puducherry,655486,2882669
2024,2,state,Tamil Nadu,31818880,1071832085
2024,2,state,Uttar Pradesh,58199149,3406733148
2024,2,state,Madhya Pradesh,29324466,4877924433
2024,2,state,Andhra Pradesh,35303719,1061281082
2024,2,state,Tripura,876724,97341017
2024,2,state,Lakshadweep,8895,683424
2024,2,state,Manipur,614446,59706780
2024,2,state,Maharashtra,70597223,3406640277
2024,2,state,Dadra & Nagar Haveli & Daman & Diu,640724,7489619
2024,2,state,Meghalaya,379342,204649032
2024,2,state,Andaman & Nicobar Islands,112687,16876883
2024,2,state,Haryana,18932084,495253484
2024,2,state,Rajasthan,34773619,4962266918
2024,2,state,Ladakh,134702,41355640
2024,2,state,Punjab,10677703,502438995
2024,2,state,Assam,6767874,1728273868
2024,2,state,Jharkhand,10501982,1583300137
2024,2,state,Odisha,18078622,1439371537
2024,2,state,Bihar,27786576,1034146507
2024,2,state,Kerala,13008410,164717612
2024,2,state,Karnataka,45290606,2195010418
2024,2,state,Chandigarh,782791,3351127
2024,2,state,Telangana,32232171,1007869816
2024,2,state,Himachal Pradesh,3172766,291406931
2024,2,state,West Bengal,32540397,704276274
2024,2,state,Gujarat,28439885,2418997443
2024,2,state,Sikkim,304650,45285995
2024,2,state,Nagaland,414876,60494356
2024,2,state,Mizoram,171540,44171046
2024,2,state,Chhattisgarh,8704757,1483224382
2024,2,state,Jammu & Kashmir,2279903,425109975
2024,2,state,Goa,1073516,21359943
2024,2,state,Arunachal Pradesh,500669,132013837
2024,2,state,Delhi,19789096,99756459
2024,2,state,Uttarakhand,5395292,309932840
2024,3,state,Puducherry,629332,2673547
2024,3,state,Tamil Nadu,32965209,1237507205
2024,3,state,Uttar Pradesh,67922000,2512362184
2024,3,state,Madhya Pradesh,31764084,5313772854
2024,3,state,Andhra Pradesh,29145303,1660426436
2024,3,state,Tripura,916336,134585619
2024,3,state,Lakshadweep,11395,28226
2024,3,state,Manipur,596237,125520994
2024,3,state,Maharashtra,69641161,4571320472
2024,3,state,Dadra & Nagar Haveli & Daman & Diu,627815,5429299
2024,3,state,Meghalaya,548502,292472944
2024,3,state,Andaman & Nicobar Islands,172473,19554846
2024,3,state,Haryana,18527288,701589813
2024,3,state,Rajasthan,35583171,5335171033
2024,3,state,Ladakh,194146,68575933
2024,3,state,Punjab,10978782,719085996
2024,3,state,Assam,10098778,855216106
2024,3,state,Jharkhand,11771265,1330121440
2024,3,state,Odisha,17966648,1596145813
2024,3,state,Bihar,31899315,692875087
2024,3,state,Kerala,13271613,127705188
2024,3,state,Karnataka,44548391,2731726058
2024,3,state,Chandigarh,700398,3757821
2024,3,state,Telangana,30776242,1397303246
2024,3,state,Himachal Pradesh,2953068,277032020
2024,3,state,West Bengal,33612828,709864323
2024,3,state,Gujarat,29082108,2873083540
2024,3,state,Sikkim,312311,18246210
2024,3,state,Nagaland,446969,73710120
2024,3,state,Mizoram,224952,109786827
2024,3,state,Chhattisgarh,10290502,1469220234
2024,3,state,Jammu & Kashmir,4161840,376570012
2024,3,state,Goa,1114034,49958844
2024,3,state,Arunachal Pradesh,687168,210856966
2024,3,state,Delhi,18444617,111680825
2024,3,state,Uttarakhand,5423770,414813742
2024,4,state,Puducherry,646158,30724911
2024,4,state,Tamil Nadu,33966610,2229881172
2024,4,state,Uttar Pradesh,70474113,5080900941
2024,4,state,Madhya Pradesh,32876660,2492103990
2024,4,state,Andhra Pradesh,29984431,1866359979
2024,4,state,Tripura,948916,56659293
2024,4,state,Lakshadweep,11769,1797824
2024,4,state,Manipur,616995,32146128
2024,4,state,Maharashtra,71807805,5042420660
2024,4,state,Dadra & Nagar Haveli & Daman & Diu,644550,41947714
2024,4,state,Meghalaya,571272,44407767
2024,4,state,Andaman & Nicobar Islands,178788,18691683
2024,4,state,Haryana,19051114,1381829141
2024,4,state,Rajasthan,36828375,2764744237
2024,4,state,Ladakh,193724,9881580
2024,4,state,Punjab,11308453,774697562
2024,4,state,Assam,10480927,775169459
2024,4,state,Jharkhand,12212421,1018664763
2024,4,state,Odisha,18611196,1034390206
2024,4,state,Bihar,33345285,2527843258
2024,4,state,Kerala,13689387,873737766
2024,4,state,Karnataka,45917653,3091599006
2024,4,state,Chandigarh,721216,37265017
2024,4,state,Telangana,31726856,2014592558
2024,4,state,Himachal Pradesh,3040819,168576863
2024,4,state,West Bengal,34750181,1994940763
2024,4,state,Gujarat,29861641,2406424143
2024,4,state,Sikkim,320748,18490840
2024,4,state,Nagaland,463523,25389015
2024,4,state,Mizoram,234527,12467831
2024,4,state,Chhattisgarh,10651135,869239311
2024,4,state,Jammu & Kashmir,4288583,246569412
2024,4,state,Goa,1143332,78430745
2024,4,state,Arunachal Pradesh,710879,46627582
2024,4,state,Delhi,18900488,952556492
2024,4,state,Uttarakhand,5575922,354208067
