state,year,quarter,insurance_type,quarterly_policies,quarterly_premium,avg_premium_per_policy,prev_quarter_policies,qoq_growth_rate
Gujarat,2021,4,TOTAL,19142,23282921.0,1216.33,15348.0,24.72
Haryana,2021,4,TOTAL,19489,25885838.0,1328.23,14163.0,37.61
Himachal Pradesh,2021,4,TOTAL,2474,4667661.0,1886.69,1759.0,40.65
Jammu & Kashmir,2021,4,TOTAL,3113,5223317.0,1677.9,1452.0,114.39
Jharkhand,2021,4,TOTAL,8465,11190423.0,1321.96,6794.0,24.6
Karnataka,2021,4,TOTAL,74436,90723288.0,1218.81,47468.0,56.81
Kerala,2021,4,TOTAL,19199,31260319.0,1628.23,10926.0,75.72
Ladakh,2021,4,TOTAL,76,195966.0,2578.5,192.0,-60.42
Lakshadweep,2021,4,TOTAL,11,17096.0,1554.18,19.0,-42.11
Madhya Pradesh,2021,4,TOTAL,15069,17524432.0,1162.95,11990.0,25.68
Maharashtra,2021,4,TOTAL,82423,93262227.0,1131.51,52268.0,57.69
Manipur,2021,4,TOTAL,145,271789.0,1874.41,111.0,30.63
Meghalaya,2021,4,TOTAL,263,451612.0,1717.16,139.0,89.21
Mizoram,2021,4,TOTAL,100,175847.0,1758.47,81.0,23.46
Nagaland,2021,4,TOTAL,183,341424.0,1865.7,91.0,101.1
Odisha,2021,4,TOTAL,9093,10941626.0,1203.3,7967.0,14.13
Puducherry,2021,4,TOTAL,786,946607.0,1204.33,561.0,40.11
Punjab,2021,4,TOTAL,6638,9912828.0,1493.35,4887.0,35.83
Rajasthan,2021,4,TOTAL,19375,24455262.0,1262.21,16643.0,16.42
Sikkim,2021,4,TOTAL,195,503532.0,2582.22,106.0,83.96
Tamil Nadu,2021,4,TOTAL,33037,42184290.0,1276.88,23107.0,42.97
Telangana,2021,4,TOTAL,34848,38845492.0,1114.71,27080.0,28.69
Tripura,2021,4,TOTAL,702,1022508.0,1456.56,494.0,42.11
Uttar Pradesh,2021,4,TOTAL,44132,59654951.0,1351.74,32799.0,34.55
Uttarakhand,2021,4,TOTAL,5529,7849020.0,1419.61,4111.0,34.49
West Bengal,2021,4,TOTAL,26320,31282871.0,1188.56,24839.0,5.96
Andaman & Nicobar Islands,2021,3,TOTAL,230,305235.0,1327.11,137.0,67.88
Andhra Pradesh,2021,3,TOTAL,23075,19914338.0,863.03,33205.0,-30.51
Arunachal Pradesh,2021,3,TOTAL,212,371051.0,1750.24,204.0,3.92
Assam,2021,3,TOTAL,4495,6010865.0,1337.23,3265.0,37.67
Bihar,2021,3,TOTAL,18030,18234941.0,1011.37,14301.0,26.08
Chandigarh,2021,3,TOTAL,494,469634.0,950.68,378.0,30.69
Chhattisgarh,2021,3,TOTAL,4676,3568837.0,763.22,5055.0,-7.5
Dadra & Nagar Haveli & Daman & Diu,2021,3,TOTAL,360,273596.0,759.99,368.0,-2.17
Delhi,2021,3,TOTAL,16679,15007079.0,899.76,13292.0,25.48
Goa,2021,3,TOTAL,1214,1385986.0,1141.67,1016.0,19.49
Gujarat,2021,3,TOTAL,15348,12341903.0,804.14,14676.0,4.58
Haryana,2021,3,TOTAL,14163,13215898.0,933.13,12516.0,13.16
Himachal Pradesh,2021,3,TOTAL,1759,2444545.0,1389.74,1210.0,45.37
Jammu & Kashmir,2021,3,TOTAL,1452,2139133.0,1473.23,1197.0,21.3
Jharkhand,2021,3,TOTAL,6794,7046048.0,1037.1,5180.0,31.16
Karnataka,2021,3,TOTAL,47468,48078366.0,1012.86,40969.0,15.86
Kerala,2021,3,TOTAL,10926,13255646.0,1213.22,9530.0,14.65
Ladakh,2021,3,TOTAL,192,174052.0,906.52,46.0,317.39
Lakshadweep,2021,3,TOTAL,19,16034.0,843.89,5.0,280.0
Madhya Pradesh,2021,3,TOTAL,11990,7806258.0,651.06,14803.0,-19.0
Maharashtra,2021,3,TOTAL,52268,41313307.0,790.41,70381.0,-25.74
Manipur,2021,3,TOTAL,111,133016.0,1198.34,127.0,-12.6
Meghalaya,2021,3,TOTAL,139,214554.0,1543.55,139.0,0.0
Mizoram,2021,3,TOTAL,81,83641.0,1032.6,187.0,-56.68
Nagaland,2021,3,TOTAL,91,123643.0,1358.71,85.0,7.06
Odisha,2021,3,TOTAL,7967,6008686.0,754.2,7942.0,0.31
Puducherry,2021,3,TOTAL,561,556442.0,991.88,526.0,6.65
Punjab,2021,3,TOTAL,4887,5271559.0,1078.69,4047.0,20.76
Rajasthan,2021,3,TOTAL,16643,12793862.0,768.72,18281.0,-8.96
Sikkim,2021,3,TOTAL,106,140552.0,1325.96,93.0,13.98
Tamil Nadu,2021,3,TOTAL,23107,23402918.0,1012.81,17682.0,30.68
Telangana,2021,3,TOTAL,27080,20925217.0,772.72,28870.0,-6.2
Tripura,2021,3,TOTAL,494,649961.0,1315.71,381.0,29.66
Uttar Pradesh,2021,3,TOTAL,32799,32641118.0,995.19,25952.0,26.38
Uttarakhand,2021,3,TOTAL,4111,4646571.0,1130.28,2742.0,49.93
West Bengal,2021,3,TOTAL,24839,21424337.0,862.53,15200.0,63.41
Andaman & Nicobar Islands,2021,2,TOTAL,137,181504.0,1324.85,225.0,-39.11
Andhra Pradesh,2021,2,TOTAL,33205,22730687.0,684.56,22105.0,50.21
Arunachal Pradesh,2021,2,TOTAL,204,224928.0,1102.59,194.0,5.15
Assam,2021,2,TOTAL,3265,3008122.0,921.32,3167.0,3.09
Bihar,2021,2,TOTAL,14301,13301581.0,930.12,12554.0,13.92
Chandigarh,2021,2,TOTAL,378,310943.0,822.6,338.0,11.83
Chhattisgarh,2021,2,TOTAL,5055,3813417.0,754.39,4712.0,7.28
Dadra & Nagar Haveli & Daman & Diu,2021,2,TOTAL,368,275638.0,749.02,467.0,-21.2
Delhi,2021,2,TOTAL,13292,10840929.0,815.6,12822.0,3.67
Goa,2021,2,TOTAL,1016,1028339.0,1012.14,879.0,15.59
Gujarat,2021,2,TOTAL,14676,10263998.0,699.37,12673.0,15.81
Haryana,2021,2,TOTAL,12516,11272453.0,900.64,11038.0,13.39
Himachal Pradesh,2021,2,TOTAL,1210,1402338.0,1158.96,1064.0,13.72
Jammu & Kashmir,2021,2,TOTAL,1197,1832089.0,1530.57,1105.0,8.33
Jharkhand,2021,2,TOTAL,5180,5084230.0,981.51,4879.0,6.17
Karnataka,2021,2,TOTAL,40969,39501006.0,964.17,37595.0,8.97
Kerala,2021,2,TOTAL,9530,9676588.0,1015.38,5731.0,66.29
Ladakh,2021,2,TOTAL,46,86251.0,1875.02,32.0,43.75
Lakshadweep,2021,2,TOTAL,5,6962.0,1392.4,4.0,25.0
Madhya Pradesh,2021,2,TOTAL,14803,9787391.0,661.18,14427.0,2.61
Maharashtra,2021,2,TOTAL,70381,46763103.0,664.43,55792.0,26.15
Manipur,2021,2,TOTAL,127,81332.0,640.41,136.0,-6.62
Meghalaya,2021,2,TOTAL,139,148434.0,1067.87,107.0,29.91
Mizoram,2021,2,TOTAL,187,124805.0,667.41,415.0,-54.94
Nagaland,2021,2,TOTAL,85,139479.0,1640.93,79.0,7.59
Odisha,2021,2,TOTAL,7942,5832924.0,734.44,8236.0,-3.57
Puducherry,2021,2,TOTAL,526,508277.0,966.31,372.0,41.4
Punjab,2021,2,TOTAL,4047,3768919.0,931.29,3783.0,6.98
Rajasthan,2021,2,TOTAL,18281,14357445.0,785.38,17800.0,2.7
Sikkim,2021,2,TOTAL,93,122064.0,1312.52,122.0,-23.77
Tamil Nadu,2021,2,TOTAL,17682,16444344.0,930.0,14406.0,22.74
Telangana,2021,2,TOTAL,28870,20935651.0,725.17,28298.0,2.02
Tripura,2021,2,TOTAL,381,409934.0,1075.94,360.0,5.83
Uttar Pradesh,2021,2,TOTAL,25952,25137571.0,968.62,24103.0,7.67
Uttarakhand,2021,2,TOTAL,2742,3265717.0,1191.0,2607.0,5.18
West Bengal,2021,2,TOTAL,15200,12396029.0,815.53,15488.0,-1.86
Andaman & Nicobar Islands,2021,1,TOTAL,225,244266.0,1085.63,124.0,81.45
Andhra Pradesh,2021,1,TOTAL,22105,12749874.0,576.79,21464.0,2.99
Arunachal Pradesh,2021,1,TOTAL,194,131611.0,678.41,125.0,55.2
Assam,2021,1,TOTAL,3167,2334419.0,737.11,2413.0,31.25
Bihar,2021,1,TOTAL,12554,8796619.0,700.7,9913.0,26.64
Chandigarh,2021,1,TOTAL,338,238576.0,705.85,200.0,69.0
Chhattisgarh,2021,1,TOTAL,4712,2620468.0,556.13,3757.0,25.42
Dadra & Nagar Haveli & Daman & Diu,2021,1,TOTAL,467,285691.0,611.76,232.0,101.29
Delhi,2021,1,TOTAL,12822,9655261.0,753.02,9725.0,31.85
Goa,2021,1,TOTAL,879,827384.0,941.28,614.0,43.16
Gujarat,2021,1,TOTAL,12673,7288104.0,575.09,9990.0,26.86
Haryana,2021,1,TOTAL,11038,7297880.0,661.16,8283.0,33.26
Himachal Pradesh,2021,1,TOTAL,1064,906492.0,851.97,710.0,49.86
Jammu & Kashmir,2021,1,TOTAL,1105,1546288.0,1399.36,647.0,70.79
Jharkhand,2021,1,TOTAL,4879,3274851.0,671.21,3659.0,33.34
Karnataka,2021,1,TOTAL,37595,30183325.0,802.85,31747.0,18.42
Kerala,2021,1,TOTAL,5731,5040506.0,879.52,5479.0,4.6
Ladakh,2021,1,TOTAL,32,34530.0,1079.06,27.0,18.52
Lakshadweep,2021,1,TOTAL,4,5225.0,1306.25,4.0,0.0
Madhya Pradesh,2021,1,TOTAL,14427,5567927.0,385.94,10653.0,35.43
Maharashtra,2021,1,TOTAL,55792,33137753.0,593.95,44798.0,24.54
Manipur,2021,1,TOTAL,136,72254.0,531.28,90.0,51.11
Meghalaya,2021,1,TOTAL,107,128776.0,1203.51,92.0,16.3
Mizoram,2021,1,TOTAL,415,302841.0,729.74,81.0,412.35
Nagaland,2021,1,TOTAL,79,42973.0,543.96,62.0,27.42
Odisha,2021,1,TOTAL,8236,4383330.0,532.22,7526.0,9.43
Puducherry,2021,1,TOTAL,372,351827.0,945.77,234.0,58.97
Punjab,2021,1,TOTAL,3783,2558380.0,676.28,2451.0,54.35
Rajasthan,2021,1,TOTAL,17800,8074225.0,453.61,12509.0,42.3
Sikkim,2021,1,TOTAL,122,111777.0,916.2,67.0,82.09
Tamil Nadu,2021,1,TOTAL,14406,11180849.0,776.12,10290.0,40.0
Telangana,2021,1,TOTAL,28298,14810947.0,523.39,20961.0,35.0
Tripura,2021,1,TOTAL,360,191531.0,532.03,244.0,47.54
Uttar Pradesh,2021,1,TOTAL,24103,18027573.0,747.94,17470.0,37.97
Uttarakhand,2021,1,TOTAL,2607,2719327.0,1043.09,1756.0,48.46
West Bengal,2021,1,TOTAL,15488,11172042.0,721.34,10233.0,51.35
Andaman & Nicobar Islands,2020,4,TOTAL,124,157975.0,1273.99,41.0,202.44
Andhra Pradesh,2020,4,TOTAL,21464,12985632.0,605.0,49812.0,-56.91
Arunachal Pradesh,2020,4,TOTAL,125,84247.0,673.98,135.0,-7.41
Assam,2020,4,TOTAL,2413,1806801.0,748.78,2206.0,9.38
Bihar,2020,4,TOTAL,9913,7860932.0,792.99,9733.0,1.85
Chandigarh,2020,4,TOTAL,200,153341.0,766.71,264.0,-24.24
Chhattisgarh,2020,4,TOTAL,3757,2249901.0,598.86,4702.0,-20.1
Dadra & Nagar Haveli & Daman & Diu,2020,4,TOTAL,232,149513.0,644.45,257.0,-9.73
Delhi,2020,4,TOTAL,9725,8045442.0,827.29,7588.0,28.16
Goa,2020,4,TOTAL,614,682364.0,1111.34,683.0,-10.1
Gujarat,2020,4,TOTAL,9990,6055037.0,606.11,12525.0,-20.24
Haryana,2020,4,TOTAL,8283,5974278.0,721.27,7139.0,16.02
Himachal Pradesh,2020,4,TOTAL,710,630966.0,888.68,531.0,33.71
Jammu & Kashmir,2020,4,TOTAL,647,734861.0,1135.8,441.0,46.71
Jharkhand,2020,4,TOTAL,3659,2857024.0,780.82,5368.0,-31.84
Karnataka,2020,4,TOTAL,31747,26814968.0,844.65,53701.0,-40.88
Kerala,2020,4,TOTAL,5479,4445525.0,811.38,8811.0,-37.82
Ladakh,2020,4,TOTAL,27,34206.0,1266.89,33.0,-18.18
Madhya Pradesh,2020,4,TOTAL,10653,4897124.0,459.69,14476.0,-26.41
Maharashtra,2020,4,TOTAL,44798,27113814.0,605.25,71662.0,-37.49
Manipur,2020,4,TOTAL,90,49057.0,545.08,134.0,-32.84
Meghalaya,2020,4,TOTAL,92,71029.0,772.05,112.0,-17.86
Mizoram,2020,4,TOTAL,81,119124.0,1470.67,74.0,9.46
Nagaland,2020,4,TOTAL,62,38836.0,626.39,89.0,-30.34
Odisha,2020,4,TOTAL,7526,4208701.0,559.22,10955.0,-31.3
Puducherry,2020,4,TOTAL,234,197955.0,845.96,191.0,22.51
Punjab,2020,4,TOTAL,2451,1884291.0,768.78,2488.0,-1.49
Rajasthan,2020,4,TOTAL,12509,6471573.0,517.35,15235.0,-17.89
Sikkim,2020,4,TOTAL,67,70214.0,1047.97,94.0,-28.72
Tamil Nadu,2020,4,TOTAL,10290,8993575.0,874.01,8026.0,28.21
Telangana,2020,4,TOTAL,20961,11339099.0,540.96,34395.0,-39.06
Tripura,2020,4,TOTAL,244,149765.0,613.79,249.0,-2.01
Uttar Pradesh,2020,4,TOTAL,17470,14180417.0,811.7,18131.0,-3.65
Uttarakhand,2020,4,TOTAL,1756,1961891.0,1117.25,1403.0,25.16
West Bengal,2020,4,TOTAL,10233,7510455.0,733.94,12596.0,-18.76
Andaman & Nicobar Islands,2020,3,TOTAL,41,15380.0,375.12,6.0,583.33
Andhra Pradesh,2020,3,TOTAL,49812,12426481.0,249.47,22104.0,125.35
Arunachal Pradesh,2020,3,TOTAL,135,39687.0,293.98,65.0,107.69
Assam,2020,3,TOTAL,2206,599450.0,271.74,978.0,125.56
Bihar,2020,3,TOTAL,9733,2161102.0,222.04,2816.0,245.63
Chandigarh,2020,3,TOTAL,264,70969.0,268.82,149.0,77.18
Chhattisgarh,2020,3,TOTAL,4702,1393656.0,296.4,1346.0,249.33
Dadra & Nagar Haveli & Daman & Diu,2020,3,TOTAL,257,65504.0,254.88,651.0,-60.52
Delhi,2020,3,TOTAL,7588,1927285.0,253.99,11716.0,-35.23
Goa,2020,3,TOTAL,683,196864.0,288.23,341.0,100.29
Gujarat,2020,3,TOTAL,12525,3335812.0,266.33,7697.0,62.73
Haryana,2020,3,TOTAL,7139,1884868.0,264.02,6321.0,12.94
Himachal Pradesh,2020,3,TOTAL,531,165559.0,311.79,392.0,35.46
Jammu & Kashmir,2020,3,TOTAL,441,133339.0,302.36,206.0,114.08
Jharkhand,2020,3,TOTAL,5368,1349934.0,251.48,2063.0,160.2
Karnataka,2020,3,TOTAL,53701,12407394.0,231.05,27358.0,96.29
Kerala,2020,3,TOTAL,8811,2830361.0,321.23,1588.0,454.85
Ladakh,2020,3,TOTAL,33,10260.0,310.91,14.0,135.71
Lakshadweep,2020,3,TOTAL,4,1199.0,299.75,,
Madhya Pradesh,2020,3,TOTAL,14476,3496126.0,241.51,6283.0,130.4
Maharashtra,2020,3,TOTAL,71662,19230156.0,268.35,39836.0,79.89
Manipur,2020,3,TOTAL,134,45164.0,337.04,55.0,143.64
Meghalaya,2020,3,TOTAL,112,33615.0,300.13,41.0,173.17
Mizoram,2020,3,TOTAL,74,24691.0,333.66,31.0,138.71
Nagaland,2020,3,TOTAL,89,20798.0,233.69,41.0,117.07
Odisha,2020,3,TOTAL,10955,2640191.0,241.0,2981.0,267.49
Puducherry,2020,3,TOTAL,191,58399.0,305.75,112.0,70.54
Punjab,2020,3,TOTAL,2488,684753.0,275.22,2036.0,22.2
Rajasthan,2020,3,TOTAL,15235,3758527.0,246.7,5373.0,183.55
Sikkim,2020,3,TOTAL,94,28000.0,297.87,21.0,347.62
Tamil Nadu,2020,3,TOTAL,8026,2257373.0,281.26,5473.0,46.65
Telangana,2020,3,TOTAL,34395,8406543.0,244.41,19003.0,81.0
Tripura,2020,3,TOTAL,249,61642.0,247.56,88.0,182.95
Uttar Pradesh,2020,3,TOTAL,18131,4436969.0,244.72,9884.0,83.44
Uttarakhand,2020,3,TOTAL,1403,418543.0,298.32,660.0,112.58
West Bengal,2020,3,TOTAL,12596,2878482.0,228.52,7619.0,65.32
Andaman & Nicobar Islands,2020,2,TOTAL,6,1360.0,226.67,,
Andhra Pradesh,2020,2,TOTAL,22104,3982391.0,180.17,,
Arunachal Pradesh,2020,2,TOTAL,65,14329.0,220.45,,
Assam,2020,2,TOTAL,978,210034.0,214.76,,
Bihar,2020,2,TOTAL,2816,595621.0,211.51,,
Chandigarh,2020,2,TOTAL,149,29537.0,198.23,,
Chhattisgarh,2020,2,TOTAL,1346,279005.0,207.28,,
Dadra & Nagar Haveli & Daman & Diu,2020,2,TOTAL,651,101029.0,155.19,,
Delhi,2020,2,TOTAL,11716,1897480.0,161.96,,
Goa,2020,2,TOTAL,341,71100.0,208.5,,
Gujarat,2020,2,TOTAL,7697,1430591.0,185.86,,
Haryana,2020,2,TOTAL,6321,1179814.0,186.65,,
Himachal Pradesh,2020,2,TOTAL,392,77936.0,198.82,,
Jammu & Kashmir,2020,2,TOTAL,206,48484.0,235.36,,
Jharkhand,2020,2,TOTAL,2063,405031.0,196.33,,
Karnataka,2020,2,TOTAL,27358,4794150.0,175.24,,
Kerala,2020,2,TOTAL,1588,360216.0,226.84,,
Ladakh,2020,2,TOTAL,14,2538.0,181.29,,
Madhya Pradesh,2020,2,TOTAL,6283,1198701.0,190.78,,
Maharashtra,2020,2,TOTAL,39836,6879717.0,172.7,,
Manipur,2020,2,TOTAL,55,12554.0,228.25,,
Meghalaya,2020,2,TOTAL,41,8829.0,215.34,,
Mizoram,2020,2,TOTAL,31,7322.0,236.19,,
Nagaland,2020,2,TOTAL,41,9791.0,238.8,,
Odisha,2020,2,TOTAL,2981,615193.0,206.37,,
Puducherry,2020,2,TOTAL,112,22251.0,198.67,,
Punjab,2020,2,TOTAL,2036,399452.0,196.19,,
Rajasthan,2020,2,TOTAL,5373,1095933.0,203.97,,
Sikkim,2020,2,TOTAL,21,4789.0,228.05,,
Tamil Nadu,2020,2,TOTAL,5473,1075552.0,196.52,,
Telangana,2020,2,TOTAL,19003,3419453.0,179.94,,
Tripura,2020,2,TOTAL,88,22054.0,250.61,,
Uttar Pradesh,2020,2,TOTAL,9884,1912266.0,193.47,,
Uttarakhand,2020,2,TOTAL,660,134899.0,204.39,,
West Bengal,2020,2,TOTAL,7619,1432764.0,188.05,,
